userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake
25,1937,0,0,1,1,0,10,1
324,4122,0,0,1,0,4,15,1
15,399,0,0,0,0,3,12,1
14,107,0,1,1,0,1,10,1
264,4651,0,0,1,0,0,14,1
33,1470,0,2,1,1,4,13,1
420,4883,30,8,1,0,0,12,1
442,6662,0,396,1,0,0,11,1
816,7497,0,85,1,0,3,15,1
150,6631,1,0,1,1,3,8,1
235,7202,0,1,1,1,2,14,1
99,1358,0,1,1,0,3,7,1
59,6603,0,0,0,1,0,12,1
4,179,0,1,1,0,0,17,1
39,1022,58,0,0,0,3,30,1
8,23,0,0,0,0,0,10,1
622,364,26,2,0,0,0,9,1
37,207,0,0,0,0,0,15,1
66,244,34,0,0,0,0,11,1
32,4,0,1,1,0,2,10,1
27,354,0,0,1,1,4,10,1
47,106,0,0,0,0,3,11,1
25,136,0,0,0,1,2,8,1
5,243,0,1,0,1,0,12,1
0,848,0,0,0,1,4,9,1
232,6013,111,1,1,0,1,20,1
534,539,11,0,1,0,0,11,1
1,8,0,0,0,0,0,11,1
0,126,0,0,1,1,0,5,1
5,77,0,0,1,0,4,10,1
0,6,0,0,0,1,7,11,1
80,1844,16,1,1,1,0,9,1
87,851,53,0,1,0,0,8,1
29,1603,89,2,1,0,0,11,1
247,1749,0,3,1,0,4,10,1
290,2269,0,0,0,1,0,12,1
12,2721,16,1,1,1,0,13,1
46,2521,0,0,0,0,2,12,1
2,1973,13,0,0,1,1,11,1
8,1359,0,0,1,0,0,8,1
36,2004,10,6,0,1,2,13,1
37,1982,8,1,1,0,3,9,1
61,992,0,0,1,0,4,10,1
105,6802,17,0,1,0,0,6,1
607,7455,20,0,0,1,0,9,1
14,1725,0,0,1,1,4,9,1
69,3577,0,1,0,0,1,9,1
26,1919,0,0,0,0,0,12,1
12,1710,0,1,1,0,3,13,1
12,1377,0,0,0,0,5,15,1
51,3241,50,0,1,1,2,13,1
8,1709,0,0,1,1,2,7,1
514,1999,27,0,1,0,0,6,1
104,1423,53,0,0,0,0,13,1
83,2012,0,0,1,1,2,12,1
69,1374,9,0,1,1,1,7,1
282,2517,0,5,1,0,2,11,1
49,2499,23,1,1,0,4,17,1
14,3359,0,0,1,0,1,7,1
49,2987,0,0,0,0,0,8,1
20,3543,0,0,0,0,1,11,1
63,2318,0,0,1,0,4,9,1
5,964,0,1,1,0,0,9,1
58,826,0,0,1,0,4,12,1
110,1612,0,0,0,1,4,12,1
21,946,0,1,1,0,1,10,1
15,659,0,1,1,0,0,8,1
2,757,0,0,1,0,3,13,1
125,1396,15,0,1,1,2,12,1
14,3086,0,1,1,0,0,11,1
4,883,0,0,1,0,1,7,1
11,1898,37,0,1,1,2,9,1
3208,1911,0,0,0,0,5,15,1
0,2513,0,1,1,1,0,13,1
124,1411,85,0,1,1,0,13,1
441,2772,0,0,0,1,2,9,1
10,1768,0,0,0,0,4,14,1
14,1229,0,4,0,1,0,14,1
16,2473,0,0,0,0,0,13,1
22,2666,0,0,0,1,2,9,1
